entity,timestamp,vibrations,rms,accel_speed,accel_power_0,accel_power_1,accel_power_2,accel_power_3,accel_power_4
04714B604101,2020-01-01 17:57:35.668,3.7117204919012963,2.136783030171524,2334.9181998519775,2.5858,2.3894,2.5652,2.5348,2.404
04714B604101,2020-01-01 18:02:35.751,3.7035810413706356,2.1380604386901694,2333.574082818028,2.523,2.4276,2.6372,2.421,2.4264
04714B604101,2020-01-01 18:07:35.571,3.8038953140169354,2.136788213363926,2327.7652373037963,2.5784,2.4986,2.4306,2.3408,2.403
04714B604101,2020-01-01 18:12:35.903,3.7136298927060567,2.13528932879973,2324.1805007356893,2.5864,2.5028,2.3774,2.4042,2.483
04714B604101,2020-01-01 18:17:35.911,3.6792297943999093,2.137854718851821,2333.1345867737678,2.6258,2.5,2.3706,2.3824,2.5484
04714B604101,2020-01-01 18:22:35.900,3.773028831058676,2.137225827996892,2334.021208129866,2.57,2.4104,2.435,2.5018,2.561
04714B604101,2020-01-01 18:27:35.570,3.6354981818177277,2.135391778927932,2325.074407411513,2.4556,2.3416,2.4778,2.4576,2.4066
04714B604101,2020-01-01 18:32:35.714,3.746896809361048,2.1351011473593,2325.0713967532265,2.427,2.5378,2.4944,2.402,2.5024
04714B604101,2020-01-01 18:37:35.946,3.6797168097558814,2.1356715725611934,2334.468247802912,2.611,2.5092,2.4008,2.4014,2.5342
04714B604101,2020-01-01 18:42:35.924,3.7903225522374737,2.136691911651982,2328.660344489939,2.6048,2.359,2.3336,2.4354,2.4828
04714B604101,2020-01-01 18:47:35.664,3.6638405028057646,2.1342629044749857,2322.845238064732,2.477,2.3372,2.337,2.4832,2.4648
04714B604101,2020-01-01 18:52:35.739,3.6684830557057233,2.1341318110554934,2317.913069983428,2.3326,2.425,2.4766,2.413,2.4014
04714B604101,2020-01-01 18:57:35.621,3.6931556317057637,2.133647097604006,2324.1817915128754,2.3782,2.5182,2.5814,2.4726,2.359
04714B604101,2020-01-01 19:02:35.709,3.697376441478471,2.1348087405774785,2321.4906848833143,2.4416,2.5002,2.4752,2.3638,2.4796
04714B604101,2020-01-01 19:07:35.945,3.618926391901333,2.13529118763039,2329.0942445508726,2.5422,2.4476,2.3446,2.4744,2.4778
04714B604101,2020-01-01 19:12:35.809,3.665016923562564,2.132371074647656,2332.6714299274986,2.5072,2.4962,2.3814,2.5182,2.5714
04714B604101,2020-01-01 19:17:35.969,3.5923157252669204,2.134474257021387,2328.201881280917,2.4716,2.3444,2.491,2.4726,2.3886
04714B604101,2020-01-01 19:22:35.842,3.6564275885076682,2.135461787995749,2317.916089939409,2.3306,2.4808,2.4566,2.4058,2.3636
04714B604101,2020-01-01 19:27:36.188,3.6568505288020727,2.135363077685385,2322.3843351176824,2.4772,2.473,2.4256,2.3482,2.4768
04714B604101,2020-01-01 19:32:35.897,3.6471812595482556,2.1331680537461177,2321.489823367744,2.4034,2.4206,2.3458,2.4708,2.382
04714B604101,2020-01-01 19:37:36.111,3.713619334288317,2.134391563902463,2318.3601963456845,2.4016,2.4148,2.4714,2.331,2.4232
04714B604101,2020-01-01 19:42:36.568,3.689720478572869,2.135803624307019,2316.5707414193075,2.3554,2.3704,2.4556,2.3974,2.3272
04714B604101,2020-01-01 19:47:36.766,3.7559481466069253,2.134594789142895,2321.4881003356445,2.4526,2.452,2.3988,2.3508,2.468
04714B604101,2020-01-01 19:52:36.676,3.6361060449332334,2.133873023432041,2321.488961851854,2.47,2.3744,2.4806,2.455,2.3966
04714B604101,2020-01-01 19:57:36.836,3.6981180267806484,2.1340028601121883,2316.5694464012945,2.3652,2.4602,2.43,2.3588,2.3316
04714B604101,2020-01-01 20:02:37.024,3.718171975581549,2.135229918853471,2321.043299897699,2.423,2.477,2.4032,2.3362,2.5018
04714B604101,2020-01-01 20:07:37.245,3.6384944386380473,2.135145503896163,2331.3483223233716,2.556,2.4282,2.38,2.5804,2.5802
04714B604101,2020-01-01 20:12:37.413,3.6874474206420897,2.135253638081902,2328.666356522548,2.399,2.381,2.4446,2.6496,2.3612
04714B604101,2020-01-01 20:17:37.302,3.7151529053324306,2.133850954405907,2332.236909063914,2.376,2.621,2.5036,2.4054,2.4126
04714B604101,2020-01-01 20:22:37.418,3.6991019896726285,2.1328300574579306,2339.3979994861925,2.6758,2.488,2.4264,2.4302,2.6516
04714B604101,2020-01-01 20:27:37.189,3.76304064687056,2.1367719404131553,2331.3350252591326,2.5258,2.3378,2.4712,2.5464,2.4604
04714B604101,2020-01-01 20:32:38.057,3.674202864568041,2.1359819142651935,2328.6715096810026,2.379,2.5224,2.5804,2.5218,2.3806
04714B604101,2020-01-01 20:37:38.212,3.7691440871900874,2.1306707744478026,2339.8427297577073,2.5754,2.6136,2.465,2.383,2.6622
04714B604101,2020-01-01 20:42:38.101,3.6870203281240532,2.1349743594905304,2337.1538246337145,2.5402,2.4558,2.4172,2.653,2.5238
04714B604101,2020-01-01 20:47:38.438,3.738061983167213,2.1327437711443444,2326.414408483579,2.3624,2.4414,2.5344,2.4126,2.4078
04714B604101,2020-01-01 20:52:38.219,3.6738408457634635,2.1342009919082128,2327.7695332656967,2.4544,2.3976,2.38,2.5202,2.5952
04714B604101,2020-01-01 20:57:38.378,3.6151419792312445,2.1340423099962194,2335.813562765659,2.49,2.3796,2.5146,2.6362,2.4358
04714B604101,2020-01-01 21:02:38.656,3.8166003943300115,2.138132384672895,2329.116141372087,2.4086,2.5848,2.612,2.35,2.332
04714B604101,2020-01-01 21:07:38.492,3.6731588993671376,2.1361881098358357,2323.298732406145,2.5652,2.5684,2.318,2.3772,2.5134
04714B604101,2020-01-01 21:12:38.608,3.747075118008712,2.135319212148619,2326.418706939918,2.4998,2.449,2.3292,2.563,2.529
04714B604101,2020-01-01 21:17:38.647,3.678130992773368,2.1343460354914336,2330.892103894987,2.519,2.3858,2.52,2.603,2.5012
04714B604101,2020-01-01 21:22:38.725,3.623164734041222,2.135176004851591,2331.777862490336,2.4898,2.478,2.4508,2.4644,2.4944
04714B604101,2020-01-01 21:27:38.729,3.7045413913195784,2.133337654219791,2324.178349438786,2.3424,2.3402,2.3866,2.4682,2.4442
04714B604101,2020-01-01 21:32:38.689,3.888494931204103,2.133166867991344,2325.5149967265315,2.3394,2.4776,2.5076,2.5452,2.4648
04714B604101,2020-01-01 21:37:38.891,3.7001501293866443,2.1341854898677384,2331.7731450550673,2.4644,2.5502,2.572,2.557,2.472
04714B604101,2020-01-01 21:42:38.658,3.794820530670719,2.1344788113272526,2326.8603310039903,2.5282,2.5828,2.5188,2.4198,2.463
04714B604101,2020-01-01 21:47:39.018,3.6771214271492316,2.1336786342359524,2327.305308720796,2.5202,2.483,2.4474,2.4592,2.5658
04714B604101,2020-01-01 21:52:39.219,3.7517383930652737,2.1347934030779183,2331.326017527364,2.5312,2.4756,2.5466,2.5826,2.5078
04714B604101,2020-01-01 21:57:38.768,3.714575438727823,2.1352836938456212,2325.5124166514356,2.4158,2.5192,2.4414,2.4974,2.4264
04714B604101,2020-01-01 22:02:39.016,3.815451456905198,2.1342670540307274,2321.0484699807544,2.4012,2.4924,2.4756,2.3592,2.3442
04714B604101,2020-01-01 22:07:38.713,3.7534089745190307,2.1327348927975085,2323.2819458688177,2.4726,2.5514,2.3868,2.3628,2.4822
04714B604101,2020-01-01 22:12:38.695,3.6014282694508855,2.132102044105066,2329.989270361561,2.6088,2.456,2.36,2.4572,2.56
04714B604101,2020-01-01 22:17:39.146,3.667769735138781,2.135433451976436,2330.8869556458544,2.4092,2.379,2.5014,2.58,2.381
04714B604101,2020-01-01 22:22:38.674,3.6743268880163615,2.1361169754997036,2321.9509038737233,2.4402,2.5024,2.5962,2.3528,2.3382
04714B604101,2020-01-01 22:27:39.063,3.714345787618595,2.1346444710361023,2326.4178472492854,2.4966,2.5834,2.3772,2.4618,2.5462
04714B604101,2020-01-01 22:32:39.219,3.6183120346371456,2.1349759303769678,2331.7825799160605,2.5318,2.4588,2.448,2.5686,2.5422
04714B604101,2020-01-01 22:37:38.886,3.7681658641837945,2.1323526748284394,2323.750847229539,2.3354,2.361,2.5104,2.5446,2.3344
04714B604101,2020-01-01 22:42:38.912,3.6071238847591585,2.1364754588187997,2321.4937001852923,2.4526,2.5158,2.4752,2.3546,2.4392
04714B604101,2020-01-01 22:47:39.061,3.6804752913176855,2.1358966672093476,2330.437941675341,2.6082,2.4742,2.3386,2.4684,2.5056
